行政代码,地名,东经,北纬
420501,湖北省宜昌市市辖区,111.310981,30.732758
420502,湖北省宜昌市西陵区,111.313706,30.740828
420503,湖北省宜昌市伍家岗区,111.380922,30.678659
420504,湖北省宜昌市点军区,111.216279,30.625385
420505,湖北省宜昌市虎亭区,111.310981,30.732758
420506,湖北省宜昌市夷陵区,111.310649,30.979971
420525,湖北省远安县,111.585113,31.176854
420527,湖北省秭归县,110.685993,30.903335
420528,湖北省长阳土家族自治县,110.853968,30.482855
420529,湖北省五峰土家族自治县,110.709999,30.173165
420526,湖北省兴山县,110.824406,31.31935
420581,湖北省宜都市,111.375534,30.29492
420582,湖北省当阳市,111.842712,30.825538
420583,湖北省枝江市,111.728567,30.451767
420600,湖北省襄阳市,112.250093,32.229169
420601,湖北省襄樊市市辖区,112.176326,32.094934
420602,湖北省襄樊市襄城区,112.017083,31.93536
420606,湖北省襄樊市樊城区,111.928528,32.153953
420607,湖北省襄樊市襄阳区,112.250093,32.229169
420624,湖北省南漳县,111.764629,31.64328
420625,湖北省谷城县,111.495958,32.173452
420626,湖北省保康县,111.209905,31.719673
420682,湖北省老河口市,111.76583,32.434166
420683,湖北省枣阳市,112.772607,32.092511
420684,湖北省宜城市,112.372745,31.673335
420700,湖北省鄂州市,114.895594,30.384439
420701,湖北省鄂州市市辖区,114.895594,30.384439
420702,湖北省鄂州市梁子湖区,114.650029,30.172732
420703,湖北省鄂州市华容区,114.701472,30.473068
420704,湖北省鄂州市鄂城区,114.901016,30.320603
420800,湖北省荆门市,112.21733,31.042611
420801,湖北省荆门市市辖区,112.21733,31.042611
420802,湖北省荆门市东宝区,112.087311,31.129835
420804,湖北省荆门市掇刀区,112.193923,30.932878
420821,湖北省京山县,113.112261,31.085752
420822,湖北省沙洋县,112.395983,30.66455
420881,湖北省钟祥市,112.584826,31.244981
420900,湖北省孝感市,113.935734,30.927955
420901,湖北省孝感市市辖区,113.935734,30.927955
420902,湖北省孝感市孝南区,114.016142,30.944617
420921,湖北省孝昌县,114.034872,31.239759
420922,湖北省大悟县,114.3103,31.578255
420923,湖北省云梦县,113.778186,31.004979
420981,湖北省应城市,113.55644,30.925709
420982,湖北省安陆市,113.633387,31.304355
420984,湖北省汉川市,113.681678,30.622039
421000,湖北省荆州市,112.241866,30.332591
421001,湖北省荆州市市辖区,112.241866,30.332591
421002,湖北省荆州市沙市区,112.424109,30.325723
421003,湖北省荆州市荆州区,112.099857,30.396103
421022,湖北省公安县,112.153618,29.95713
421023,湖北省监利县,113.001956,29.848933
421024,湖北省江陵县,112.473701,30.101503
421081,湖北省石首市,112.51436,29.742222
421083,湖北省洪湖市,113.538915,29.996772
421087,湖北省松滋市,111.696205,30.105224
421100,湖北省黄冈市,114.906618,30.446109
421101,湖北省黄冈市市辖区,114.906618,30.446109
421102,湖北省黄冈市黄州区,114.949569,30.518802
421121,湖北省团风县,115.014087,30.723706
421122,湖北省红安县,114.628119,31.290123
421123,湖北省罗田县,115.481022,30.932373
